model,alpha,aic,holdout_rmse,holdout_mae
M2_nb_manuf_season,0.31303543870339706,52810.89123473545,8.922861155582197,5.264692634937833
M4_nb_upc_store_season,0.18642666837857175,50058.83164912957,6.8537077155647586,4.256129338621324
